#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 02  5.4  0.99 14.7  13.7
2020 06 02  5.5  0.91 14.9  13.7
2020 06 02  6.2  0.84 15.2  13.7
2020 06 02  6.1  0.87 15.3  13.7
2020 06 02  6.1  0.77 15.3  13.8
2020 06 02  6.6  0.77 15.4  13.8
2020 06 02  6.5  0.71 15.3  13.8
2020 06 02  6.2  0.82 14.8  13.8
2020 06 02  6.2  0.82 14.6  13.9
2020 06 02  6.6  0.80 14.9  13.9
2020 06 02  6.5  0.82 15.1  13.9
2020 06 02  7.0  0.78 15.3  13.9
2020 06 02  7.0  0.81 15.4  13.9
2020 06 02  7.3  0.81 15.4  13.9
2020 06 02  7.3  0.81 15.4  13.9
2020 06 02  7.5  0.84 15.4  13.9
2020 06 02  7.9  0.77 15.6  13.9
2020 06 02  7.4  0.83 14.3  13.9
2020 06 02  7.6  0.76 15.4  13.9
2020 06 02  7.4  0.87 15.3  13.8
2020 06 02  7.2  0.85 15.2  13.8
2020 06 02  7.0  0.81 15.2  13.8
2020 06 02  6.7  0.78 15.2  13.8
2020 06 02  6.5  0.79 15.3  13.8
2020 06 02  6.1  0.81 15.1  13.8
2020 06 02  5.9  0.84 15.1  13.8
2020 06 02  6.1  0.79 15.1  13.8
2020 06 02  5.6  0.80 15.1  13.8
2020 06 02  5.5  0.80 15.0  13.8
2020 06 02  5.4  0.74 15.1  13.9
2020 06 02  5.7  0.75 15.1  13.9
2020 06 02  5.8  0.76 15.1  13.9
2020 06 02  6.0  0.80 15.1  13.9
2020 06 02  5.9  0.76 15.2  13.9
2020 06 02  5.8  0.82 15.1  13.9
2020 06 02  6.0  0.76 15.2  13.9
2020 06 02  6.1  0.72 15.1  13.9
2020 06 02  7.3  0.74 15.5  13.9
2020 06 02  5.7  0.66 15.3  13.9
2020 06 02  6.2  0.73 15.3  13.9
2020 06 02  6.3  0.82 15.3  14.0
2020 06 02  6.3  0.86 15.3  14.0
2020 06 02  6.1  0.79 15.3  14.0
2020 06 02  5.7  0.74 15.3  14.0
2020 06 02  5.9  0.76 15.3  14.0
2020 06 02  5.9  0.66 15.3  14.0
2020 06 02  6.2  0.71 15.4  14.0
2020 06 02  6.3  0.61 15.4  14.0
2020 06 02  5.7  0.81 15.2  14.0
2020 06 02  5.9  0.79 15.4  14.0
2020 06 02  5.8  0.71 15.3  14.0
2020 06 02  6.2  0.76 15.4  14.1
2020 06 02  5.9  0.71 15.4  14.1
2020 06 02  6.0  0.69 15.4  14.1
2020 06 02  5.9  0.66 15.4  14.1
2020 06 02  5.9  0.69 15.4  14.1
2020 06 02  6.3  0.68 15.6  14.2
2020 06 02  6.4  0.62 15.6  14.2
2020 06 02  6.5  0.71 15.5  14.2
2020 06 02  6.7  0.72 15.5  14.2
2020 06 02  6.4  0.67 15.6  14.2
2020 06 02  6.4  0.67 15.6  14.2
2020 06 02  6.1  0.62 15.7  14.2
2020 06 02  6.0  0.66 15.8  14.2
2020 06 02  6.0  0.59 15.8  14.3
2020 06 02  5.9  0.65 15.8  14.3
2020 06 02  5.7  0.59 15.7  14.3
2020 06 02  5.4  0.63 15.7  14.3
2020 06 02  5.5  0.60 15.8  14.3
2020 06 02  5.6  0.60 15.9  14.3
2020 06 02  5.4  0.60 15.8  14.3
2020 06 02  5.2  0.54 15.9  14.4
2020 06 02  5.3  0.49 16.0  14.4
2020 06 02  4.9  0.67 16.0  14.5
2020 06 02  4.6  0.68 16.0  14.5
2020 06 02  4.2  0.65 15.9  14.5
2020 06 02  3.7  0.64 15.9  14.5
2020 06 02  2.9  0.62 16.0  14.5
2020 06 02  2.3  0.65 15.9  14.5
2020 06 02  2.7  0.64 15.8  14.5
2020 06 02  2.9  0.62 16.2  14.6
2020 06 02  3.1  0.59 16.5  14.5
2020 06 02  3.3  0.57 16.1  14.5
2020 06 02  3.6  0.53 16.2  14.5
2020 06 02  4.0  0.60 16.1  14.4
2020 06 02  4.2  0.56 16.3  14.3
2020 06 02  4.3  0.53 16.5  14.5
2020 06 02  4.3  0.54 16.7  14.5
2020 06 02  3.8  0.51 16.7  14.5
2020 06 02  3.4  0.53 16.6  14.4
2020 06 02  3.6  0.49 16.6  14.3
2020 06 02  3.7  0.50 16.5  14.4
2020 06 02  3.9  0.50 16.6  14.3
2020 06 02  3.7  0.50 16.6  14.2
2020 06 02  3.4  0.51 16.7  14.3
2020 06 02  3.4  0.48 16.9  14.2
2020 06 02  3.2  0.45 16.9  14.2
2020 06 02  2.9  0.50 16.6  13.9
2020 06 02  2.7  0.50 16.4  13.9
2020 06 03  2.8  0.46 16.4  14.0
2020 06 03  2.9  0.48 16.3  14.1
2020 06 03  3.5  0.45 16.6  14.0
2020 06 03  3.9  0.46 16.5  14.0
2020 06 03  3.7  0.49 16.4  14.0
2020 06 03  4.0  0.46 16.4  14.0
2020 06 03  3.7  0.45 16.2  14.0
2020 06 03  3.7  0.47 16.3  14.0
2020 06 03  3.3  0.43 16.2  13.9
2020 06 03  3.7  0.46 16.0  13.9
2020 06 03  3.6  0.42 16.1  13.8
2020 06 03  3.4  0.43 16.1  13.8
2020 06 03  3.2  0.45 16.0  13.9
2020 06 03  3.2  0.43 15.9  13.9
2020 06 03  3.1  0.44 15.6  13.9
2020 06 03  3.2  0.41 15.7  13.8
2020 06 03  3.0  0.41 15.5  13.8
2020 06 03  2.8  0.35 15.7  13.8
2020 06 03  3.1  0.35 15.7  13.8
