#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 07 25  3.5  0.27 23.6  23.3
2020 07 25  3.4  0.27 23.7  23.4
2020 07 25  3.1  0.28 23.7  23.4
2020 07 25  3.1  0.27 23.8  23.4
2020 07 25  2.9  0.28 23.9  23.4
2020 07 25  2.6  0.27 23.9  23.4
2020 07 25  2.4  0.29 24.0  23.4
2020 07 25  2.1  0.30 24.0  23.4
2020 07 25  1.9  0.31 24.0  23.4
2020 07 25  2.0  0.29 24.0  23.4
2020 07 25  2.2  0.26 23.9  23.3
2020 07 25  1.7  0.26 23.9  23.3
2020 07 25  1.6  0.29 23.9  23.3
2020 07 25  1.7  0.28 23.9  23.3
2020 07 25  1.3  0.28 24.0  23.3
2020 07 25  1.1  0.27 24.1  23.3
2020 07 25  1.5  0.26 24.1  23.3
2020 07 25  1.5  0.27 24.1  23.3
2020 07 25  1.6  0.30 24.0  23.3
2020 07 25  1.9  0.29 24.0  23.2
2020 07 25  1.7  0.28 23.9  23.3
2020 07 25  1.2  0.28 24.0  23.3
2020 07 26  1.3  0.29 23.9  23.3
2020 07 26  1.3  0.28 23.8  23.3
2020 07 26  1.7  0.29 23.8  23.3
2020 07 26  2.1  0.27 23.8  23.3
2020 07 26  2.3  0.25 23.8  23.3
2020 07 26  2.5  0.26 23.8  23.3
2020 07 26  2.8  0.26 23.9  23.3
2020 07 26  2.8  0.25 24.0  23.3
2020 07 26  2.3  0.27 24.0  23.3
2020 07 26  2.6  0.27 24.1  23.3
2020 07 26  2.8  0.29 24.2  23.3
2020 07 26  3.0  0.26 24.2  23.4
2020 07 26  3.0  0.27 24.2  23.4
2020 07 26  3.5  0.24 24.3  23.4
2020 07 26  3.9  0.26 24.3  23.4
2020 07 26  4.1  0.24 24.4  23.4
2020 07 26  4.0  0.26 24.4  23.4
2020 07 26  3.7  0.26 24.4  23.4
2020 07 26  4.0  0.26 24.5  23.3
2020 07 26  3.8  0.26 24.5  23.3
2020 07 26  3.6  0.29 24.4  23.3
2020 07 26  3.6  0.30 24.4  23.3
2020 07 26  3.3  0.28 24.3  23.3
2020 07 26  3.5  0.26 24.2  23.3
2020 07 26  3.9  0.27 24.3  23.3
2020 07 26  3.9  0.27 24.3  23.3
2020 07 26  4.1  0.27 24.3  23.3
2020 07 26  4.2  0.28 24.4  23.3
2020 07 26  4.2  0.31 24.4  23.3
2020 07 26  4.3  0.31 24.3  23.2
2020 07 26  4.1  0.32 24.2  23.2
2020 07 26  4.5  0.33 24.2  23.2
2020 07 26  4.5  0.34 24.2  23.2
2020 07 26  4.4  0.36 24.2  23.2
2020 07 26  4.7  0.34 24.2  23.2
2020 07 26  4.7  0.36 24.3  23.2
2020 07 26  4.6  0.37 24.2  23.2
2020 07 26  4.6  0.38 24.2  23.2
2020 07 26  4.8  0.38 24.2  23.2
2020 07 26  4.7  0.41 24.2  23.1
2020 07 26  4.6  0.41 24.1  23.1
2020 07 26  4.6  0.36 24.1  23.1
2020 07 26  4.6  0.40 24.0  23.1
2020 07 26  4.8  0.40 24.0  23.1
2020 07 26  4.7  0.43 24.0  23.0
2020 07 26  4.8  0.45 23.9  23.0
2020 07 26  4.4  0.47 23.9  23.0
2020 07 26  4.3  0.47 23.8  23.0
2020 07 26  4.4  0.43 23.8  23.0
2020 07 26  4.3  0.48 23.8  23.0
2020 07 26  4.4  0.48 23.8  23.0
2020 07 26  4.5  0.44 23.8  23.0
2020 07 26  4.6  0.45 23.8  22.9
2020 07 26  4.5  0.46 23.7  22.9
2020 07 26  4.4  0.43 23.7  22.9
2020 07 26  4.5  0.41 23.7  22.9
2020 07 26  4.5  0.44 23.7  22.9
2020 07 26  4.7  0.45 23.8  22.9
2020 07 26  4.6  0.44 23.8  22.9
2020 07 26  4.5  0.45 23.7  22.9
2020 07 26  4.8  0.45 23.7  22.9
2020 07 26  4.8  0.42 22.0  22.9
2020 07 26  5.0  0.41 23.6  22.9
2020 07 26  5.2  0.45 23.6  22.9
2020 07 26  5.5  0.45 23.7  22.9
2020 07 26  5.4  0.47 23.7  22.9
2020 07 26  5.4  0.46 23.6  22.9
2020 07 26  5.2  0.46 23.6  22.9
2020 07 26  5.2  0.50 23.6  22.9
2020 07 26  5.4  0.57 23.6  22.9
2020 07 26  5.5  0.55 23.5  22.9
2020 07 26  5.5  0.55 23.5  22.9
2020 07 26  5.4  0.54 23.5  22.9
2020 07 26  5.2  0.58 23.5  22.9
2020 07 26  4.9  0.59 23.5  22.9
2020 07 26  4.8  0.56 23.5  22.9
2020 07 26  4.9  0.59 23.5  22.9
2020 07 26  5.0  0.57 23.5  22.9
2020 07 26  4.7  0.52 23.5  22.9
2020 07 26  5.0  0.50 23.6  23.0
2020 07 26  5.0  0.56 23.6  23.0
2020 07 26  4.9  0.56 23.6  23.0
2020 07 26  4.8  0.51 23.5  23.0
2020 07 26  5.2  0.54 23.6  23.0
2020 07 26  5.6  0.55 23.6  23.0
2020 07 26  5.4  0.58 23.6  23.0
2020 07 26  5.0  0.56 23.6  23.0
2020 07 26  5.3  0.52 23.6  23.0
2020 07 26  4.9  0.56 23.8  23.0
2020 07 26  4.7  0.59 23.7  23.0
2020 07 26  4.7  0.59 23.8  23.0
2020 07 26  4.5  0.54 23.7  23.0
2020 07 26  4.6  0.59 23.7  23.1
2020 07 26  4.9  0.57 23.8  23.1
2020 07 26  4.9  0.55 23.8  23.1
2020 07 26  5.0  0.54 23.8  23.1
2020 07 26  4.9  0.49 23.8  23.1
2020 07 26  4.8  0.54 23.9  23.2
2020 07 26  4.9  0.52 24.0  23.2
2020 07 26  4.6  0.67 24.0  23.2
2020 07 26  4.8  0.67 23.8  23.2
2020 07 26  4.7  0.65 23.9  23.2
2020 07 26  5.0  0.69 23.9  23.2
2020 07 26  5.4  0.65 23.9  23.3
2020 07 26  5.5  0.73 23.9  23.3
2020 07 26  5.5  0.73 24.0  23.3
2020 07 26  5.7  0.74 24.0  23.3
2020 07 26  5.7  0.62 24.0  23.3
2020 07 26  5.6  0.68 24.0  23.3
2020 07 26  5.6  0.62 24.1  23.3
2020 07 26  5.5  0.62 24.1  23.3
2020 07 26  5.7  0.61 24.2  23.3
2020 07 26  5.7  0.64 24.3  23.3
2020 07 26  5.6  0.60 24.3  23.3
2020 07 26  5.7  0.63 24.4  23.3
2020 07 26  6.0  0.63 24.4  23.4
2020 07 26  6.1  0.55 24.5  23.4
2020 07 26  6.0  0.58 24.6  23.4
2020 07 26  5.9  0.56 24.6  23.4
2020 07 26  5.7  0.63 24.7  23.4
2020 07 26  5.5  0.59 24.8  23.4
2020 07 26  5.7  0.59 24.9  23.4
2020 07 26  5.9  0.59 24.9  23.4
2020 07 26  6.0  0.58 24.9  23.4
2020 07 26  6.6  0.59 25.0  23.4
2020 07 26  6.8  0.61 25.2  23.4
2020 07 26  6.6  0.60 25.3  23.4
2020 07 26  6.1  0.62 25.4  23.4
2020 07 26  6.3  0.65 25.4  23.5
2020 07 26  5.8  0.62 25.5  23.4
2020 07 26  5.9  0.58 25.5  23.5
2020 07 26  5.5  0.58 25.5  23.5
2020 07 26  5.5  0.59 25.5  23.5
2020 07 26  5.4  0.56 25.5  23.5
2020 07 26  5.5  0.60 25.5  23.5
2020 07 26  5.3  0.58 25.5  23.5
2020 07 26  5.5  0.59 25.6  23.5
2020 07 26  5.1  0.65 25.5  23.6
2020 07 26  4.5  0.67 25.4  23.5
2020 07 26  4.6  0.62 25.4  23.5
2020 07 26  4.8  0.62 25.4  23.5
2020 07 26  5.2  0.62 25.5  23.5
2020 07 27  5.3  0.62 25.5  23.5
2020 07 27  5.6  0.58 25.5  23.5
2020 07 27  6.2  0.59 25.5  23.5
2020 07 27  6.4  0.56 25.6  23.5
2020 07 27  6.8  0.53 25.7  23.5
2020 07 27  6.7  0.56 25.8  23.5
2020 07 27  6.8  0.57 25.8  23.5
2020 07 27  7.3  0.73 25.8  23.5
2020 07 27  7.9  0.72 24.9  23.5
2020 07 27  4.5  0.72 24.5  23.5
2020 07 27  4.3  0.70 24.0  23.5
2020 07 27  2.5  0.73 23.9  23.5
2020 07 27  2.2  0.63 23.8  23.5
2020 07 27  2.9  0.61 23.7  23.5
2020 07 27  2.7  0.61 23.6  23.5
2020 07 27  4.0  0.63 23.6  23.5
2020 07 27  3.9  0.60 23.7  23.5
2020 07 27  4.5  0.52 23.7  23.5
2020 07 27  6.2  0.52 23.7  23.5
2020 07 27  6.9  0.55 23.7  23.5
2020 07 27  6.8  0.55 23.7  23.5
2020 07 27  6.8  0.54 23.7  23.5
2020 07 27  5.6  0.59 23.7  23.5
2020 07 27  5.8  0.51 23.7  23.5
2020 07 27  5.3  0.57 23.7  23.5
2020 07 27  6.0  0.57 23.8  23.4
2020 07 27  5.6  0.56 23.9  23.4
2020 07 27  4.3  0.59 23.8  23.4
2020 07 27  3.1  0.55 23.7  23.4
2020 07 27  3.0  0.55 23.7  23.4
2020 07 27  4.0  0.55 23.7  23.4
2020 07 27  5.4  0.68 23.9  23.4
2020 07 27  6.4  0.67 23.9  23.4
2020 07 27  5.9  0.67 23.9  23.4
2020 07 27  4.8  0.64 23.8  23.4
2020 07 27  4.5  0.66 23.7  23.4
2020 07 27  4.7  0.54 23.7  23.4
2020 07 27  4.6  0.55 23.7  23.4
2020 07 27  4.9  0.52 23.7  23.4
2020 07 27  4.7  0.58 23.7  23.4
2020 07 27  4.8  0.58 23.6  23.4
2020 07 27  5.1  0.56 23.6  23.4
2020 07 27  5.5  0.55 23.6  23.4
2020 07 27  5.4  0.60 23.6  23.4
2020 07 27  5.3  0.58 23.6  23.4
2020 07 27  5.0  0.79 23.6  23.4
2020 07 27  4.7  0.81 23.6  23.4
2020 07 27  4.8  0.67 23.6  23.4
2020 07 27  5.1  0.67 23.6  23.4
2020 07 27  4.9  0.64 23.6  23.4
2020 07 27  5.0  0.64 23.6  23.4
2020 07 27  4.8  0.63 23.6  23.4
2020 07 27  4.5  0.53 23.5  23.4
2020 07 27  4.5  0.60 23.6  23.4
2020 07 27  4.1  0.63 23.6  23.4
2020 07 27  4.2  0.63 23.6  23.4
2020 07 27  4.4  0.64 23.6  23.4
2020 07 27  4.7  0.58 23.6  23.4
2020 07 27  4.9  0.81 23.7  23.4
2020 07 27  4.9  0.78 23.7  23.4
2020 07 27  5.0  0.78 23.7  23.4
2020 07 27  4.7  0.77 23.7  23.4
2020 07 27  4.5  0.72 22.1  23.4
2020 07 27  4.5  0.84 23.6  23.4
2020 07 27  4.9  0.66 23.7  23.4
2020 07 27  4.9  0.61 23.7  23.4
2020 07 27  4.5  0.60 23.6  23.4
2020 07 27  4.6  0.78 23.6  23.4
2020 07 27  4.4  0.82 23.6  23.4
2020 07 27  4.6  0.84 23.6  23.4
2020 07 27  5.0  0.75 23.7  23.4
2020 07 27  5.1  0.75 23.7  23.4
2020 07 27  4.7  0.66 23.6  23.4
2020 07 27  4.7  0.64 23.6  23.4
2020 07 27  4.7  0.57 23.7  23.4
2020 07 27  4.7  0.59 23.7  23.4
2020 07 27  4.9  0.64 23.7  23.4
2020 07 27  4.9  0.61 23.6  23.4
2020 07 27  4.5  0.57 23.6  23.4
2020 07 27  4.8  0.59 23.7  23.4
2020 07 27  5.0  0.53 23.7  23.4
2020 07 27  5.0  0.53 23.7  23.4
2020 07 27  4.8  0.53 23.7  23.4
2020 07 27  4.6  0.54 23.7  23.4
2020 07 27  4.8  0.57 23.7  23.5
2020 07 27  5.2  0.57 23.6  23.5
2020 07 27  4.8  0.55 23.6  23.5
2020 07 27  5.3  0.53 23.6  23.5
2020 07 27  5.6  0.54 23.6  23.5
2020 07 27  5.6  0.53 23.6  23.5
2020 07 27  5.9  0.61 23.5  23.5
2020 07 27  5.6  0.61 23.5  23.5
2020 07 27  4.4  0.60 23.5  23.5
2020 07 27  4.9  0.55 23.4  23.5
2020 07 27  4.6  0.59 23.4  23.5
2020 07 27  5.1  0.55 23.4  23.5
2020 07 27  4.6  0.52 23.4  23.6
2020 07 27  4.1  0.56 23.4  23.6
2020 07 27  4.3  0.55 23.4  23.6
2020 07 27  4.2  0.54 23.4  23.6
2020 07 27  4.6  0.52 23.4  23.6
2020 07 27  4.5  0.49 23.4  23.6
2020 07 27  4.7  0.47 23.4  23.6
2020 07 27  5.0  0.62 23.5  23.6
2020 07 27  5.3  0.60 23.4  23.6
2020 07 27  5.7  0.61 23.4  23.6
2020 07 27  5.8  0.66 23.5  23.6
2020 07 27  5.6  0.61 23.5  23.6
2020 07 27  5.5  0.56 23.5  23.6
2020 07 27  5.6  0.55 23.4  23.6
2020 07 27  5.7  0.55 23.2  23.6
2020 07 27  6.0  0.61 23.1  23.6
2020 07 27  6.3  0.52 23.1  23.6
2020 07 27  6.5  0.61 23.1  23.6
2020 07 27  5.8  0.60 23.0  23.6
2020 07 27  6.1  0.65 23.0  23.6
2020 07 27  6.0  0.65 23.0  23.6
2020 07 27  5.7  0.59 23.0  23.6
2020 07 27  5.6  0.59 23.0  23.6
2020 07 27  6.3  0.77 23.0  23.6
2020 07 27  6.9  0.77 23.0  23.6
2020 07 27  6.9  0.74 23.0  23.6
2020 07 27  7.1  0.72 22.9  23.6
2020 07 27  6.9  0.70 22.9  23.6
2020 07 27  6.8  0.69 22.9  23.6
2020 07 27  6.4  0.72 22.9  23.7
2020 07 27  5.8  0.71 23.0  23.7
2020 07 27  5.8  0.66 23.1  23.7
2020 07 27  5.5  0.67 23.1  23.7
2020 07 27  5.3  0.60 23.2  23.7
2020 07 27  5.2  0.60 23.3  23.7
2020 07 27  4.8  0.58 23.4  23.7
2020 07 27  4.3  0.60 23.5  23.7
2020 07 27  3.5  0.73 23.5  23.7
2020 07 27  3.4  0.64 23.7  23.7
2020 07 27  3.9  0.66 23.7  23.7
2020 07 27  4.0  0.63 23.7  23.7
2020 07 27  3.7  0.58 23.7  23.7
2020 07 27  3.6  0.53 23.7  23.7
2020 07 27  3.3  0.56 23.7  23.7
2020 07 27  3.3  0.56 23.7  23.7
2020 07 27  3.1  0.53 23.7  23.7
2020 07 28  3.0  0.47 23.8  23.7
2020 07 28  2.8  0.51 23.8  23.7
2020 07 28  2.5  0.54 23.8  23.7
2020 07 28  2.5  0.54 23.7  23.7
2020 07 28  2.7  0.45 23.7  23.7
2020 07 28  2.8  0.43 23.7  23.7
2020 07 28  2.6  0.48 23.7  23.7
2020 07 28  2.8  0.46 23.7  23.7
2020 07 28  2.8  0.46 23.6  23.7
2020 07 28  2.8  0.47 23.6  24.0
2020 07 28  2.9  0.39 23.6  24.1
2020 07 28  3.0  0.38 23.6  24.1
2020 07 28  3.4  0.42 23.6  24.1
2020 07 28  3.7  0.41 23.6  24.0
2020 07 28  3.8  0.41 23.6  24.0
2020 07 28  4.1  0.39 23.6  24.0
2020 07 28  4.7  0.41 23.5  24.0
2020 07 28  4.8  0.46 23.6  23.9
2020 07 28  5.0  0.48 23.6  23.9
2020 07 28  5.2  0.48 23.6  23.9
2020 07 28  5.7  0.48 23.6  23.9
2020 07 28  5.6  0.52 23.7  23.8
2020 07 28  5.3  0.50 23.6  23.7
2020 07 28  5.7  0.56 23.7  23.6
2020 07 28  5.6  0.58 23.6  23.6
2020 07 28  5.7  0.65 23.6  23.6
2020 07 28  5.2  0.65 23.6  23.6
2020 07 28  5.4  0.70 23.7  23.6
2020 07 28  5.3  0.59 23.7  23.6
2020 07 28  5.2  0.59 23.8  23.6
2020 07 28  5.4  0.70 23.8  23.6
2020 07 28  5.3  0.66 23.8  23.6
2020 07 28  5.8  0.73 23.9  23.6
2020 07 28  5.7  0.72 23.9  23.6
2020 07 28  5.8  0.76 24.0  23.6
2020 07 28  5.6  0.76 24.1  23.6
2020 07 28  5.3  0.78 24.0  23.6
2020 07 28  5.9  0.75 24.0  23.6
2020 07 28  5.8  0.83 24.2  23.6
2020 07 28  5.6  0.83 24.1  23.6
2020 07 28  5.9  0.78 24.0  23.6
2020 07 28  6.0  0.88 24.0  23.6
2020 07 28  5.6  0.85 24.0  23.5
2020 07 28  5.7  0.85 23.9  23.5
2020 07 28  5.7  0.90 24.1  23.5
2020 07 28  5.6  0.95 23.9  23.5
2020 07 28  5.2  0.88 23.8  23.5
2020 07 28  5.1  0.86 23.8  23.5
2020 07 28  4.9  0.90 23.7  23.5
2020 07 28  5.4  0.90 23.9  23.5
2020 07 28  5.4  0.83 23.9  23.5
2020 07 28  5.3  0.84 23.8  23.5
2020 07 28  5.9  0.83 23.9  23.5
2020 07 28  5.4  0.99 23.9  23.5
2020 07 28  5.4  0.86 23.9  23.5
2020 07 28  5.7  1.01 23.9  23.5
2020 07 28  5.4  0.89 23.8  23.5
2020 07 28  5.9  0.89 23.8  23.5
2020 07 28  5.6  0.86 23.7  23.5
2020 07 28  5.2  0.64 23.7  23.5
2020 07 28  5.5  0.64 23.6  23.4
2020 07 28  5.8  0.64 23.6  23.4
2020 07 28  5.1  0.68 21.9  23.4
2020 07 28  5.5  0.68 23.5  23.4
2020 07 28  5.5  0.69 23.5  23.4
2020 07 28  5.3  0.65 23.5  23.4
2020 07 28  5.3  0.60 23.5  23.4
2020 07 28  5.2  0.62 23.5  23.4
2020 07 28  5.3  0.65 23.5  23.4
2020 07 28  5.2  0.62 23.5  23.4
2020 07 28  5.0  0.62 23.4  23.4
2020 07 28  4.8  0.56 23.4  23.4
2020 07 28  4.8  0.60 23.4  23.4
2020 07 28  4.8  0.56 23.4  23.4
2020 07 28  4.6  0.59 23.3  23.4
2020 07 28  4.9  0.58 23.3  23.4
2020 07 28  4.7  0.56 23.3  23.4
2020 07 28  4.7  0.58 23.3  23.4
2020 07 28  4.8  0.54 23.3  23.4
2020 07 28  5.2  0.55 23.2  23.4
2020 07 28  5.5  0.55 23.2  23.4
2020 07 28  5.5  0.56 23.2  23.5
2020 07 28  5.8  0.53 23.1  23.5
2020 07 28  6.2  0.62 23.1  23.6
2020 07 28  5.9  0.56 23.1  23.9
2020 07 28  6.1  0.61 23.1  24.0
2020 07 28  5.8  0.77 23.1  24.0
2020 07 28  5.9  0.77 23.1  24.1
2020 07 28  5.7  0.77 23.1  24.1
2020 07 28  5.6  0.75 23.1  24.1
2020 07 28  5.7  0.75 23.0  24.1
2020 07 28  5.7  0.78 23.0  24.1
2020 07 28  5.6  0.72 23.0  24.1
2020 07 28  5.4  0.70 23.0  24.1
2020 07 28  5.6  0.68 22.9  24.1
2020 07 28  5.5  0.64 22.9  24.1
2020 07 28  4.9  0.61 22.9  24.2
2020 07 28  4.5  0.59 22.8  24.2
2020 07 28  4.3  0.60 22.9  24.2
2020 07 28  3.9  0.55 22.9  24.2
2020 07 28  4.1  0.55 23.0  24.2
2020 07 28  4.5  0.85 23.1  24.2
2020 07 28  4.8  0.84 23.1  24.2
2020 07 28  5.0  0.79 23.1  24.2
2020 07 28  4.8  0.74 23.2  24.2
2020 07 28  4.8  0.68 23.2  24.2
2020 07 28  4.6  0.64 23.2  24.2
2020 07 28  4.9  0.75 23.2  24.3
2020 07 28  5.1  0.69 23.3  24.3
2020 07 28  5.4  0.60 23.3  24.2
2020 07 28  5.3  0.61 23.4  24.3
2020 07 28  5.0  0.65 23.5  24.3
2020 07 28  5.1  0.59 23.5  24.3
2020 07 28  5.0  0.63 23.6  24.3
2020 07 28  5.0  0.65 23.5  24.3
2020 07 28  5.3  0.55 23.5  24.3
2020 07 28  5.2  0.53 23.5  24.3
2020 07 28  5.0  0.55 23.7  24.3
2020 07 28  4.6  0.56 23.7  24.3
2020 07 28  4.5  0.52 23.8  24.3
2020 07 28  4.1  0.52 23.8  24.3
2020 07 28  4.7  0.63 23.8  24.3
2020 07 28  4.9  0.64 23.9  24.3
2020 07 28  5.0  0.63 23.9  24.3
2020 07 28  5.6  0.64 23.9  24.3
2020 07 28  5.1  0.61 23.9  24.2
2020 07 28  4.6  0.56 24.0  24.2
2020 07 28  5.0  0.58 24.0  24.2
2020 07 28  5.1  0.57 24.0  24.2
2020 07 28  4.9  0.61 24.1  24.2
2020 07 28  5.0  0.61 24.1  24.2
2020 07 28  5.0  0.59 24.2  24.2
2020 07 28  4.8  0.58 24.1  24.1
2020 07 28  4.9  0.56 24.1  24.0
2020 07 28  5.1  0.58 24.1  23.9
2020 07 28  5.0  0.55 24.2  23.9
2020 07 28  5.2  0.57 24.2  23.8
2020 07 28  5.3  0.52 24.1  23.8
2020 07 28  5.6  0.53 24.1  23.8
2020 07 28  6.0  0.53 24.1  23.8
2020 07 28  5.9  0.54 24.2  23.8
2020 07 28  5.3  0.51 24.3  23.8
2020 07 29  5.3  0.52 24.3  23.8
2020 07 29  6.0  0.52 24.3  23.8
2020 07 29  6.1  0.53 24.4  23.8
2020 07 29  6.3  0.54 24.4  23.8
2020 07 29  6.1  0.57 24.4  23.8
2020 07 29  6.5  0.53 24.5  23.8
2020 07 29  6.2  0.56 24.6  23.7
2020 07 29  6.0  0.57 24.7  23.7
2020 07 29  7.0  0.57 24.9  23.7
2020 07 29  7.1  0.60 24.9  23.7
2020 07 29  7.1  0.58 25.0  23.7
2020 07 29  7.3  0.64 25.1  23.7
2020 07 29  7.1  0.75 25.0  23.7
2020 07 29  6.8  0.80 25.0  23.7
2020 07 29  6.8  0.77 25.1  23.7
2020 07 29  7.3  0.71 25.1  23.7
2020 07 29  5.8  0.73 25.2  23.7
2020 07 29  4.3  0.68 25.2  23.7
2020 07 29  7.6  0.68 25.1  23.7
2020 07 29  8.5  0.71 25.2  23.7
2020 07 29  8.7  0.76 25.2  23.7
2020 07 29  9.5  0.74 25.4  23.7
2020 07 29  8.8  0.78 25.3  23.7
2020 07 29  8.9  0.83 25.2  23.7
2020 07 29  9.2  0.91 25.2  23.7
2020 07 29  9.1  1.11 25.2  23.6
2020 07 29  9.3  1.00 25.2  23.6
2020 07 29  8.6  1.15 25.2  23.6
2020 07 29  8.6  1.15 25.1  23.6
2020 07 29  9.0  1.01 25.0  23.6
2020 07 29  8.8  1.18 25.1  23.6
2020 07 29  8.6  1.08 24.1  23.6
2020 07 29  6.1  0.98 24.2  23.6
2020 07 29  8.1  1.14 24.9  23.6
2020 07 29  8.1  1.02 24.3  23.6
2020 07 29  7.0  1.05 24.3  23.6
2020 07 29  9.3  1.04 24.8  23.6
2020 07 29  9.2  1.05 24.9  23.6
2020 07 29  9.2  1.05 24.9  23.6
2020 07 29  8.8  1.19 24.8  23.6
2020 07 29  8.5  1.12 24.8  23.5
2020 07 29  6.5  1.13 24.5  23.5
2020 07 29  6.2  0.98 24.2  23.5
2020 07 29  4.8  1.06 23.8  23.5
2020 07 29  4.3  0.99 23.6  23.5
2020 07 29  3.1  0.92 23.3  23.5
2020 07 29  2.1  0.98 23.2  23.5
2020 07 29  2.2  1.00 23.3  23.5
2020 07 29  1.7  1.00 23.1  23.6
2020 07 29  0.4  1.31 23.0  23.6
2020 07 29  0.8  1.15 23.1  23.6
2020 07 29  1.2  1.07 23.3  23.6
2020 07 29  1.8  1.02 23.5  23.6
2020 07 29  2.5  0.88 23.6  23.6
2020 07 29  2.7  0.89 23.6  23.6
2020 07 29  2.8  0.86 23.5  23.6
2020 07 29  3.5  0.83 23.5  23.6
2020 07 29  3.6  0.87 23.6  23.6
2020 07 29  3.9  0.86 23.5  23.6
2020 07 29  4.1  0.86 23.5  23.6
2020 07 29  4.0  0.83 23.5  23.6
2020 07 29  4.0  1.04 23.5  23.6
2020 07 29  3.7  0.88 21.9  23.6
2020 07 29  4.0  0.88 23.4  23.6
2020 07 29  3.8  0.77 23.4  23.6
2020 07 29  3.4  0.67 23.4  23.6
2020 07 29  3.2  0.62 23.4  23.6
2020 07 29  3.6  0.64 23.3  23.6
2020 07 29  3.8  0.70 23.4  23.6
2020 07 29  4.3  0.70 23.4  23.7
2020 07 29  4.3  0.61 23.4  23.7
2020 07 29  3.8  0.67 23.4  23.7
2020 07 29  3.5  0.59 23.5  23.7
2020 07 29  3.9  0.61 23.4  23.7
2020 07 29  3.7  0.62 23.4  23.6
2020 07 29  3.6  0.56 23.4  23.6
2020 07 29  3.3  0.61 23.4  23.6
2020 07 29  3.4  0.62 20.8  23.7
2020 07 29  3.1  0.62 23.4  23.7
2020 07 29  2.9  0.62 22.7  23.7
2020 07 29  3.5  0.60 23.5  23.7
2020 07 29  3.6  0.62 23.5  23.7
2020 07 29  3.5  0.60 23.5  23.7
2020 07 29  3.3  0.59 23.5  23.7
2020 07 29  3.6  0.61 23.4  23.7
2020 07 29  3.5  0.78 23.4  23.7
2020 07 29  3.5  0.77 23.4  23.7
2020 07 29  3.6  0.78 23.3  23.7
2020 07 29  3.4  0.68 23.2  23.7
2020 07 29  3.1  0.68 23.2  23.7
2020 07 29  3.3  0.66 23.2  23.8
2020 07 29  3.1  0.81 23.2  23.8
2020 07 29  3.0  0.79 23.2  23.8
2020 07 29  2.7  0.72 23.2  23.8
2020 07 29  2.4  0.66 23.2  23.8
2020 07 29  2.4  0.69 23.2  23.8
2020 07 29  2.5  0.64 23.2  23.8
2020 07 29  2.5  0.62 23.2  23.8
2020 07 29  2.5  0.57 23.2  23.9
2020 07 29  2.8  0.54 23.1  23.9
2020 07 29  2.8  0.54 23.1  23.9
2020 07 29  2.8  0.84 23.1  23.9
2020 07 29  2.7  0.70 23.2  23.9
2020 07 29  2.4  0.74 23.2  24.0
2020 07 29  2.4  0.71 23.2  24.0
2020 07 29  2.6  0.63 23.2  23.9
2020 07 29  2.4  0.62 23.2  24.0
2020 07 29  2.1  0.60 23.3  24.0
2020 07 29  2.3  0.58 23.3  24.0
2020 07 29  2.6  0.82 23.4  24.0
2020 07 29  2.6  0.82 23.4  24.0
2020 07 29  2.6  0.81 23.4  24.1
2020 07 29  2.7  0.69 23.4  24.2
2020 07 29  2.5  0.64 23.5  24.1
2020 07 29  2.5  0.61 23.5  24.1
2020 07 29  2.3  0.56 23.5  24.2
2020 07 29  2.4  0.55 23.6  24.2
2020 07 29  2.6  0.53 23.6  24.2
2020 07 29  2.6  0.55 23.7  24.2
2020 07 29  2.8  0.51 23.7  24.3
2020 07 29  2.9  0.51 23.7  24.3
2020 07 29  3.3  0.50 23.7  24.4
2020 07 29  3.3  0.50 23.7  24.5
2020 07 29  3.5  0.48 23.8  24.5
2020 07 29  3.5  0.68 23.9  24.3
2020 07 29  3.6  0.71 23.9  24.4
2020 07 29  3.6  0.64 24.0  24.5
2020 07 29  3.7  0.59 24.0  24.6
2020 07 29  3.8  0.58 23.9  24.6
2020 07 29  3.7  0.59 23.9  24.6
2020 07 29  3.8  0.59 23.8  24.6
2020 07 29  4.0  0.55 23.7  24.7
2020 07 29  4.0  0.56 23.7  24.6
2020 07 29  3.9  0.54 23.7  24.6
2020 07 29  3.9  0.50 23.8  24.6
2020 07 29  3.9  0.52 23.8  24.6
2020 07 29  4.0  0.54 23.7  24.6
2020 07 29  4.1  0.51 23.7  24.6
2020 07 29  4.0  0.53 23.8  24.6
2020 07 29  4.2  0.49 23.9  24.6
2020 07 29  4.3  0.48 23.8  24.6
2020 07 29  4.0  0.48 24.0  24.6
2020 07 29  3.5  0.49 24.1  24.6
2020 07 29  3.9  0.47 24.3  24.6
2020 07 30  3.9  0.46 24.6  24.6
2020 07 30  3.7  0.53 24.6  24.5
2020 07 30  3.5  0.54 24.6  24.5
2020 07 30  3.2  0.59 24.6  24.5
2020 07 30  3.2  0.55 24.3  24.5
2020 07 30  2.7  0.52 24.2  24.5
2020 07 30  2.3  0.48 24.1  24.5
2020 07 30  1.8  0.48 24.0  24.5
2020 07 30  1.9  0.54 24.0  24.5
2020 07 30  2.0  0.49 24.0  24.5
2020 07 30  1.4  0.48 24.0  24.5
2020 07 30  1.4  0.45 23.9  24.5
2020 07 30  1.5  0.43 23.9  24.5
2020 07 30  2.0  0.48 23.8  24.5
